target;Literal;Question;Negation;VerbTalk
одним словом;1;0;0;0
одним словом;1;0;0;1
одним словом;1;0;0;0
одним словом;1;0;0;0
одним словом;1;0;0;1
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;1;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;1;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;1;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;1;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;1;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;1;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
одним словом;0;0;0;0
